emotion,song,artist
joy,Happy,Pharrell Williams
joy,Good as Hell,Lizzo
joy,Walking on Sunshine,Katrina and the Waves
joy,I Gotta Feeling,The Black Eyed Peas
joy,Don't Stop Me Now,Queen
sadness,Someone Like You,Adele
sadness,Fix You,Coldplay
sadness,Skinny Love,Bon Iver
sadness,Hurt,Johnny Cash
sadness,The Night We Met,Lord Huron
anger,Stronger,Kanye West
anger,Break Stuff,Limp Bizkit
anger,Killing In The Name,Rage Against The Machine
anger,Bodies,Drowning Pool
anger,You Oughta Know,Alanis Morissette
fear,Demons,Imagine Dragons
fear,Boulevard of Broken Dreams,Green Day
fear,Thriller,Michael Jackson
fear,Paranoid,Black Sabbath
fear,Somebody's Watching Me,Rockwell
love,Perfect,Ed Sheeran
love,All of Me,John Legend
love,Thinking Out Loud,Ed Sheeran
love,At Last,Etta James
love,Can't Help Falling in Love,Elvis Presley
surprise,Uptown Funk,Bruno Mars
surprise,Can't Stop The Feeling,Justin Timberlake
surprise,Mr. Blue Sky,Electric Light Orchestra
surprise,Africa,Toto
surprise,Hey Ya!,OutKast
neutral,Weightless,Marconi Union
neutral,River Flows in You,Yiruma
neutral,Clair de Lune,Claude Debussy
neutral,Holocene,Bon Iver
neutral,Gymnopedie No. 1,Erik Satie
anger,Requiem for a Hit,Miss Kittin
anger,Shit On You,D12 feat. Eminem
anger,Hot,The Beatnuts
anger,Money Good,Megan Thee Stallion
anger,Drug Fits the Face,Moby
anger,Bounce Out With That Remix (feat. Machine Gun Kelly),YBN Nahmir feat. Machine Gun Kelly
anger,Domestic Violence,RZA
anger,Hit Em,Migos
anger,Pow Pow,LCD Soundsystem
anger,Drop It Like It's Hot (feat. B.G. & Mannie Fresh),Lil Wayne feat. B.G. & Mannie Fresh
anger,Make It Hurt,Busta Rhymes
anger,The Next Movement,The Roots feat. DJ Jazzy Jeff & Jazzyfatnastees
anger,Whip Game Proper,Twista feat. Lil Wayne
anger,Colombian Necktie,Young Nudy
anger,What U Gon' Do (Jamaica remix),Lil Jon & The East Side Boyz feat. Elephant Man & Lady Saw
anger,Stop Fuckin Wit Me,Lil Jon & The East Side Boyz
anger,Shut Up (feat. Lil Keed & Lil Gotit),Yung Mal
anger,Hot Wings,Young Nudy feat. Pi’erre Bourne
anger,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug
anger,Damn Son,Le1f
anger,Call Dat Bitch Homicide,Young Nudy feat. Pi’erre Bourne
anger,Rage,Le1f
anger,Skandalouz (feat. Nate Dogg),2Pac & Nate Dogg
anger,Revenge,Young Nudy
anger,My Toy Soldier,50 Cent feat. Tony Yayo
fear,The Last Trumpet,Lyrics Born feat. Lateef The Truthspeaker
fear,God Love Us,Nas
fear,Snake,Lil Keed
